"row_id","order_id","order_date","ship_date","ship_mode","customer_id","customer_name","segment","country","city","state","postal_code","region","product_id","category","sub_category","product_name","sales","quantity","discount","profit","order_priority","shipping_cost","customer_tenure","marketing_channel","product_rating","return_status","payment_method"
9,"CA-2014-104738","2014-12-30","2015-01-01","Second Class","SP-20620","Stefania Perrino","Corporate","United States","Laredo","Texas","78041","Central","OFF-BI-10002160","Office Supplies","Binders","Acco Hanging Data Binders","2.29",3,"0.8","-3.66","High","0.28","Returning","Social Media","3","No","Net Banking"
21,"US-2014-166310","2014-09-21","2014-09-23","First Class","JS-15940","Joni Sundaresam","Home Office","United States","Garland","Texas","75043","Central","FUR-FU-10001546","Furniture","Furnishings","Dana Swing-Arm Lamps","8.54",2,"0.6","-7.48","Medium","0.86","Returning","Email","4","No","UPI"
22,"US-2015-147662","2015-02-14","2015-02-19","Standard Class","KB-16315","Karl Braun","Consumer","United States","Akron","Ohio","44312","East","OFF-BI-10002160","Office Supplies","Binders","Acco Hanging Data Binders","2.29",2,"0.7","-1.68","Critical","0.26","Returning","Email","5","No","UPI"
28,"CA-2015-126557","2015-07-12","2015-07-17","Second Class","RL-19615","Rob Lucas","Consumer","United States","Chicago","Illinois","60610","Central","FUR-FU-10001861","Furniture","Furnishings","Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts","7.76",1,"0.6","-2.13","Critical","0.84","Returning","Ads","2","No","UPI"
29,"US-2014-105137","2014-10-10","2014-10-10","Same Day","RB-19435","Richard Bierner","Consumer","United States","Columbus","Ohio","43229","East","TEC-MA-10002694","Technology","Machines","Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner","101.99",2,"0.7","-71.4","Medium","14.98","Returning","Referral","1","No","Credit Card"
38,"CA-2014-108182","2014-02-06","2014-02-10","Second Class","DL-13315","Delfina Latchford","Consumer","United States","Romeoville","Illinois","60441","Central","OFF-BI-10001196","Office Supplies","Binders","Avery Flip-Chart Easel Binder, Black","8.95",2,"0.8","-14.77","Critical","0.96","New","Social Media","1","No","Net Banking"
47,"US-2016-144393","2016-10-28","2016-11-04","Standard Class","SM-20950","Suzanne McNair","Corporate","United States","Greenville","North Carolina","27834","South","OFF-BI-10004236","Office Supplies","Binders","XtraLife ClearVue Slant-D Ring Binder, White, 3""","17.62",4,"0.7","-14.09","Low","1.39","New","Social Media","1","No","UPI"
69,"CA-2017-109183","2017-12-04","2017-12-09","Standard Class","LR-16915","Lena Radford","Consumer","United States","Nashville","Tennessee","37211","South","TEC-MA-10001856","Technology","Machines","Okidata C610n Printer","649",2,"0.5","-272.58","Medium","73.26","Returning","Ads","3","No","UPI"
91,"CA-2015-132136","2015-03-08","2015-03-12","Standard Class","FO-14305","Frank Olsen","Consumer","United States","Chicago","Illinois","60623","Central","OFF-BI-10002706","Office Supplies","Binders","Avery Premier Heavy-Duty Binder with Round Locking Rings","8.57",3,"0.8","-14.57","High","0.75","New","Social Media","3","No","UPI"
100,"CA-2015-157812","2015-03-22","2015-03-26","Standard Class","DB-13210","Dean Braden","Consumer","United States","Houston","Texas","77041","Central","OFF-BI-10000285","Office Supplies","Binders","XtraLife ClearVue Slant-D Ring Binders by Cardinal","14.11",9,"0.8","-21.17",NULL,"0.75","Returning","Ads","3","No","Cash on Delivery"
102,"CA-2014-138177","2014-09-19","2014-09-24","Standard Class","ND-18460","Neil Ducich","Corporate","United States","Chandler","Arizona","85224","West","FUR-TA-10004607","Furniture","Tables","Hon 2111 Invitation Series Straight Table","73.92",1,"0.5","-45.83","Medium","10.78","Returning","Email","3","No","Credit Card"
136,"CA-2017-163860","2017-12-28","2018-01-01","Standard Class","LO-17170","Lori Olson","Corporate","United States","Peoria","Illinois","61604","Central","FUR-FU-10001935","Furniture","Furnishings","3M Hangers With Command Adhesive","2.96",2,"0.6","-1.41","High","0.32","New","Ads","1","No","Credit Card"
139,"US-2015-163433","2015-04-18","2015-04-22","Second Class","MP-17965","Michael Paige","Corporate","United States","Mcallen","Texas","78501","Central","OFF-BI-10000320","Office Supplies","Binders","GBC Plastic Binding Combs","1.48",1,"0.8","-2.29","Medium","0.15","New","Direct","2","No","Credit Card"
158,"CA-2016-133872","2016-06-14","2016-06-17","First Class","VM-21835","Vivian Mathis","Consumer","United States","Boca Raton","Florida","33433","South","OFF-BI-10002082","Office Supplies","Binders","GBC Twin Loop Wire Binding Elements","39.94",4,"0.7","-26.62","High","4.36","Returning","Email","1","No","Cash on Delivery"
166,"CA-2015-142237","2015-07-11","2015-07-13","First Class","CK-12595","Clytie Kelty","Consumer","United States","Philadelphia","Pennsylvania","19134","East","OFF-BI-10003669","Office Supplies","Binders","3M Organizer Strips","6.48",4,"0.7","-4.75","Low","0.44","New","Referral","2","No","UPI"
176,"CA-2017-133102","2017-08-17","2017-08-24","Standard Class","ED-13885","Emily Ducich","Home Office","United States","Houston","Texas","77095","Central","OFF-AP-10001563","Office Supplies","Appliances","Belkin Premiere Surge Master II 8-outlet surge protector","38.86",4,"0.8","-99.1","High","3.12","Returning","Social Media","3","No","Cash on Delivery"
210,"US-2016-105578","2016-05-30","2016-06-04","Standard Class","MY-17380","Maribeth Yedwab","Corporate","United States","Parker","Colorado","80134","West","OFF-BI-10001658","Office Supplies","Binders","GBC Standard Therm-A-Bind Covers","14.95",2,"0.7","-11.96","Critical","1.04","Returning","Direct","4","No","UPI"
213,"CA-2016-130820","2016-11-15","2016-11-15","Same Day","ON-18715","Odella Nelson","Corporate","United States","Burlington","North Carolina","27217","South","FUR-TA-10001768","Furniture","Tables","Hon Racetrack Conference Tables","630.02",4,"0.4","-199.51","Low","59.95","Returning","Referral","5","Yes","UPI"
214,"CA-2016-154018","2016-10-13","2016-10-19","Standard Class","HA-14920","Helen Andreada","Consumer","United States","Laredo","Texas","78041","Central","OFF-BI-10004140","Office Supplies","Binders","Avery Non-Stick Binders","6.29",7,"0.8","-11","Medium","0.6","Returning","Referral","5","No","UPI"
229,"CA-2014-115336","2014-11-18","2014-11-25","Standard Class","AB-10600","Ann Blume","Corporate","United States","Chicago","Illinois","60623","Central","OFF-BI-10001107","Office Supplies","Binders","GBC White Gloss Covers, Plain Front","14.48",5,"0.8","-23.89","Low","2.01","New","Email","3","No","Cash on Delivery"
265,"CA-2015-105312","2015-11-06","2015-11-09","First Class","MT-17815","Meg Tillman","Consumer","United States","Scottsdale","Arizona","85254","West","OFF-BI-10002049","Office Supplies","Binders","UniKeep View Case Binders","4.4",3,"0.7","-3.52","Medium","0.47","Returning","Social Media","3","No","Net Banking"
302,"CA-2017-150266","2017-11-25","2017-11-30","Standard Class","RO-19780","Rose O'Brian","Consumer","United States","Houston","Texas","77070","Central","OFF-AP-10002867","Office Supplies","Appliances","Fellowes Command Center 5-outlet power strip","67.84",5,"0.8","-179.78","Low","3.47","New","Direct","3","No","Net Banking"
315,"CA-2015-109001","2015-03-05","2015-03-09","Standard Class","KN-16390","Katherine Nockton","Corporate","United States","Philadelphia","Pennsylvania","19120","East","TEC-PH-10000562","Technology","Phones","Samsung Convoy 3","466.16",7,"0.4","-93.23","Critical","25.78","New","NIL","4","No","Net Banking"
329,"US-2016-144057","2016-05-09","2016-05-13","Standard Class","CV-12805","Cynthia Voltz","Corporate","United States","Austin","Texas","78745","Central","OFF-BI-10002852","Office Supplies","Binders","Ibico Standard Transparent Covers","13.18",4,"0.8","-20.44","Critical","1.23","New","Direct","3","No","Cash on Delivery"
335,"CA-2017-126144","2017-07-31","2017-08-05","Standard Class","GM-14680","Greg Matthias","Consumer","United States","Philadelphia","Pennsylvania","19134","East","TEC-PH-10001079","Technology","Phones","Polycom SoundPoint Pro SE-225 Corded phone","285.58",4,"0.4","-57.12","Critical","37.46","New","Ads","5","No","UPI"
348,"CA-2014-123498","2014-11-07","2014-11-09","First Class","TC-20980","Tamara Chand","Corporate","United States","Houston","Texas","77041","Central","OFF-BI-10000632","Office Supplies","Binders","Satellite Sectional Post Binders","26.05",3,"0.8","-44.28","Critical","2.43","Returning","Direct","2","No","Cash on Delivery"
351,"CA-2015-111395","2015-11-23","2015-11-27","Standard Class","VB-21745","Victoria Brennan","Corporate","United States","San Antonio","Texas","78207","Central","OFF-BI-10002867","Office Supplies","Binders","GBC Recycled Regency Composition Covers","23.91",2,"0.8","-40.65","Critical","2.37","New","Ads","1","No","Cash on Delivery"
